"cias_cd"|"zona_cd"|"sector_cd"
"1004150202X"|"3605"|"31"
"1003380112Y"|"2524"|"21"
"1001140112E"|"1209"|"12"
"1004330109B"|"3618"|"31"
"1004200110P"|"3611"|"31"
"1003370110D"|"5413"|"51"
"1003040112S"|"5407"|"51"
"1004200111D"|"3611"|"31"
"1003380207D"|"2524"|"21"
"1002020114K"|"4901"|"42"
"1003100107A"|"4907"|"42"
"1001180201E"|"1109"|"11"
"1001140113T"|"1209"|"12"
"1001110110N"|"1207"|"12"
"1001210111D"|"1213"|"12"
"1003280113B"|"5409"|"51"
"1003310113L"|"2511"|"21"
"1003380113F"|"2524"|"21"
"1003310114C"|"2511"|"21"
"1003310204H"|"2511"|"21"
"1004150109D"|"3605"|"31"
"1001250204J"|"1114"|"11"
